TrialNumber,P1_1,P1_2,O2_2,O2_1,O1_1,O1_2,ProbType,EV2,EV1,P2_2,P2_1,ran,order,leftRight,resp,resp_onset,rt,maxL_ITR,maxR_ITR,duration,ITI_onset,ITI
1,0.8,0.2,0,0,14,12,SD6,12,11.2,0,1,1.0,0.0,0.0,1.0,17.456,0.368352,7.0,7.0,17.9599,17.9672,2.5575
2,0.6,0.4,50,25,12,-15,RR6,17.5,17.2,0.5,0.5,1.0,1.0,0.0,1.0,35.4959,0.560299,6.0,6.0,35.9939,36.001,1.5734
3,0.8,0.2,0,0,-4,-3,SD4,-3,-3.2,0,1,1.0,2.0,0.0,2.0,52.3921,0.325167,8.0,8.0,52.9004,52.9066,1.0098
4,0.9,0.1,0,-8,6,4,MD7,4,4.6,0,1,1.0,3.0,0.0,2.0,67.9119,0.763403,6.0,6.0,68.4131,68.4196,4.6191
5,0.9,0.1,25,15,5,-3,RR10,5.4,6,0.3,0.7,1.0,4.0,0.0,1.0,88.16,0.547199,8.0,8.0,88.6626,88.6697,1.4411
6,0.6,0.4,0,-12,30,12,MD12,12,13.2,0,1,1.0,5.0,0.0,1.0,103.256,0.344963,6.0,6.0,103.758,103.765,1.2853
7,0.1,0.9,0,-5,25,-4,MD5,-4,-2,0,1,1.0,6.0,1.0,1.0,126.384,0.375547,8.0,8.0,126.897,126.904,1.2297
8,0.75,0.25,30,10,2,-5,RR3,3.75,4,0.25,0.75,1.0,7.0,1.0,2.0,142.648,0.408663,7.0,7.0,143.148,143.155,1.0113
9,0.4,0.6,0,0,-4,-2,SD2,-2,-1.6,0,1,1.0,8.0,0.0,2.0,159.4,0.712477,6.0,6.0,159.913,159.919,1.3975
10,0.3,0.7,30,15,5,-8,RR4,11,12,0.5,0.5,1.0,9.0,1.0,1.0,178.432,0.313386,8.0,8.0,178.944,178.952,3.6695
11,0.8,0.2,18,10,2,-4,RR9,4.8,3.6,0.4,0.6,1.0,10.0,1.0,2.0,198.016,0.58238,8.0,8.0,198.522,198.529,5.0846
12,0.8,0.2,0,-9,8,5,MD9,5,4.6,0,1,1.0,11.0,0.0,1.0,217.512,0.480839,7.0,7.0,218.022,218.029,1.1749
13,0.4,0.6,0,0,22,8,SD11,8,8.8,0,1,1.0,12.0,1.0,2.0,233.344,0.414612,6.0,6.0,233.85,233.857,1.0887
14,0.4,0.6,0,-20,15,-4,MD4,-4,-6,0,1,1.0,13.0,1.0,1.0,249.056,0.428368,7.0,7.0,249.571,249.578,1.1477
15,0.7,0.3,0,0,-10,-8,SD5,-8,-7,0,1,1.0,14.0,0.0,2.0,267.608,0.315798,8.0,8.0,268.118,268.124,1.3267
16,0.9,0.1,0,-10,5,3,MD8,3,3.5,0,1,1.0,15.0,0.0,1.0,283.712,0.388256,7.0,7.0,284.226,284.232,2.3911
17,0.2,0.8,0,0,-34,-7,SD3,-7,-6.8,0,1,1.0,16.0,1.0,2.0,299.552,0.31357,6.0,6.0,300.054,300.061,1.2245
18,0.9,0.1,0,-37,10,-5,MD3,-5,5.3,0,1,1.0,17.0,1.0,1.0,315.8,0.313494,7.0,7.0,316.304,316.311,1.8808
