TrialNumber,P1_1,P1_2,O2_2,O2_1,O1_1,O1_2,ProbType,EV2,EV1,P2_2,P2_1,ran,order,leftRight,displayOnset,resp,resp_onset,rt,duration,ITI,ITI_onset
1,0.8,0.2,0,0,16,13,SD9,13,12.8,0,1,1.0,0.0,0.0,0.0542485,1.0,9.75208,0.607264,10.2649,1.3975,10.2776
2,0.9,0.1,25,15,5,-3,RR10,5.4,6,0.3,0.7,1.0,1.0,0.0,12.5777,2.0,22.1121,0.451577,22.6234,1.2493,22.638
3,0.8,0.2,35,40,24,-20,RR7,29.5,27.2,0.9,0.1,1.0,2.0,1.0,24.9503,1.0,34.4081,0.382437,34.9211,2.5049,34.9377
4,0.3,0.7,0,-4,27,5,MD11,5,5.3,0,1,1.0,3.0,1.0,38.5736,1.0,48.2719,0.631232,48.781,3.9403,48.7955
5,0.8,0.2,18,10,2,-4,RR9,4.8,3.6,0.4,0.6,1.0,4.0,1.0,53.6188,2.0,63.632,0.926456,64.1394,1.1188,64.1527
6,0.1,0.9,0,-5,25,-4,MD5,-4,-2,0,1,1.0,5.0,0.0,65.8644,2.0,75.608,0.653819,76.1086,1.2245,76.121
7,0.25,0.75,10,6,2,-8,RR1,5.5,5,0.75,0.25,1.0,6.0,0.0,78.2131,2.0,87.8159,0.529745,88.3271,1.7448,88.3394
8,0.1,0.9,0,-1,42,2,MD10,2,3.3,0,1,1.0,7.0,0.0,91.0668,1.0,100.528,0.376688,101.031,3.1912,101.045
9,0.4,0.6,17,12,5,-5,RR2,8.2,9.2,0.6,0.4,1.0,8.0,1.0,105.382,1.0,114.92,0.453668,115.421,3.6229,115.435
10,0.8,0.2,0,0,14,12,SD6,12,11.2,0,1,1.0,9.0,1.0,120.125,2.0,129.808,0.59343,130.311,1.1231,130.324
11,0.7,0.3,0,0,-10,-8,SD5,-8,-7,0,1,1.0,10.0,1.0,132.37,1.0,142.544,1.09748,143.046,1.1239,143.059
12,0.4,0.6,0,0,22,8,SD11,8,8.8,0,1,1.0,11.0,0.0,144.607,1.0,154.736,1.07401,155.249,1.1057,155.261
13,0.5,0.5,50,30,14,-15,RR8,24,22,0.6,0.4,1.0,12.0,1.0,156.815,1.0,166.272,0.361419,166.78,1.1342,166.798
14,0.2,0.8,0,0,-34,-7,SD3,-7,-6.8,0,1,1.0,13.0,0.0,169.087,1.0,178.48,0.304255,178.983,1.1584,178.995
15,0.4,0.6,0,-20,15,-4,MD4,-4,-6,0,1,1.0,14.0,1.0,181.367,1.0,191.632,1.17426,192.14,3.4263,192.153
16,0.5,0.5,35,30,10,-10,RR5,21.5,20,0.7,0.3,1.0,15.0,1.0,195.92,1.0,205.488,0.481887,205.999,4.7413,206.015
17,0.7,0.3,30,38,22,-10,RR11,26,26.8,0.9,0.1,1.0,16.0,1.0,211.789,2.0,221.408,0.520559,221.921,2.3911,221.938
18,0.6,0.3,0,0,12,7,SD8,7,7.2,0,1,1.0,17.0,1.0,225.312,1.0,235.016,0.613486,235.53,1.1622,235.543
