TrialNumber,P1_1,P1_2,O2_2,O2_1,O1_1,O1_2,ProbType,EV2,EV1,P2_2,P2_1,ran,order,leftRight,displayOnset,resp,resp_onset,rt,duration,ITI,ITI_onset
1,0.6,0.3,0,-22,4,-6,MD1,-6,-4.2,0,1,1.0,0.0,0.0,0.054144,1.0,10.0879,0.944017,10.5972,1.4355,10.6093
2,0.9,0.1,0,-30,2,-1,MD2,-1,-1.2,0,1,1.0,1.0,0.0,12.6194,2.0,23.1359,1.42685,23.6446,2.2412,23.6572
3,0.3,0.7,30,15,5,-8,RR4,11,12,0.5,0.5,1.0,2.0,1.0,25.9907,2.0,35.768,0.693865,36.2694,1.2245,36.2851
4,0.9,0.1,0,-37,10,-5,MD3,-5,5.3,0,1,1.0,3.0,1.0,38.3374,2.0,47.848,0.441924,48.3626,3.1124,48.3769
5,0.75,0.25,30,10,2,-5,RR3,3.75,4,0.25,0.75,1.0,4.0,1.0,52.5485,2.0,61.9118,0.29086,62.4267,1.6301,62.4413
6,0.2,0.8,0,-7,24,-2,MD6,-2,-0.8,0,1,1.0,5.0,0.0,65.2809,1.0,75.896,1.52647,76.4094,2.5659,76.4221
7,0.6,0.4,50,25,12,-15,RR6,17.5,17.2,0.5,0.5,1.0,6.0,0.0,78.9653,2.0,89.0558,1.00451,89.5672,1.8199,89.5829
8,0.8,0.2,40,33,18,-25,RR12,20.5,21,0.7,0.3,1.0,7.0,0.0,91.9154,1.0,101.344,0.343941,101.847,4.3408,101.863
9,0.9,0.1,0,-8,6,4,MD7,4,4.6,0,1,1.0,8.0,1.0,107.375,2.0,118.064,1.61569,118.566,1.5147,118.578
10,0.1,0.9,0,0,32,3,SD10,3,3.2,0,1,1.0,9.0,1.0,119.989,2.0,130.16,1.07992,130.675,1.2203,130.689
11,0.8,0.2,0,0,-4,-3,SD4,-3,-3.2,0,1,1.0,10.0,1.0,132.334,2.0,141.688,0.276113,142.191,1.0825,142.203
12,0.1,0.9,0,0,-32,-3,SD1,-3,-3.2,0,1,1.0,11.0,0.0,144.521,2.0,154.712,1.10137,155.222,1.5139,155.236
13,0.8,0.2,0,-9,8,5,MD9,5,4.6,0,1,1.0,12.0,1.0,157.154,2.0,167.016,0.789998,167.519,1.1604,167.533
14,0.4,0.6,0,0,-4,-2,SD2,-2,-1.6,0,1,1.0,13.0,0.0,169.414,2.0,178.864,0.356292,179.379,1.61,179.391
15,0.6,0.4,0,-12,30,12,MD12,12,13.2,0,1,1.0,14.0,1.0,182.148,1.0,193.216,1.97626,193.722,1.1412,193.736
16,0.2,0.8,0,0,29,6,SD12,6,5.8,0,1,1.0,15.0,1.0,194.412,NA,0.0,-203.505,205.505,2.1542,205.517
17,0.9,0.1,0,-10,5,3,MD8,3,3.5,0,1,1.0,16.0,1.0,207.697,2,217.896,1.10941,218.41,1.783,218.424
18,0.8,0.2,0,0,4,3,SD7,3,3.2,0,1,1.0,17.0,1.0,220.606,NA,0.0,-229.702,231.701,1.0075,231.713
