TrialNumber,P1_1,P1_2,O2_2,O2_1,O1_1,O1_2,ProbType,EV2,EV1,P2_2,P2_1,ran,order,leftRight,resp,resp_onset,rt,maxL_ITR,maxR_ITR,duration,ITI_onset,ITI
1,0.6,0.3,0,0,12,7,SD8,7,7.2,0,1,1.0,0.0,0.0,1.0,23.4319,0.297986,7.0,7.0,23.942,23.9488,1.2135
2,0.1,0.9,0,0,32,3,SD10,3,3.2,0,1,1.0,1.0,0.0,1.0,40.784,0.352122,6.0,6.0,41.2859,41.2913,1.0587
3,0.9,0.1,0,-30,2,-1,MD2,-1,-1.2,0,1,1.0,2.0,0.0,2.0,60.3999,0.253752,8.0,8.0,60.911,60.9172,1.0098
4,0.2,0.8,0,0,29,6,SD12,6,5.8,0,1,1.0,3.0,0.0,1.0,76.0798,0.319048,6.0,6.0,76.5826,76.5899,2.4102
5,0.25,0.75,10,6,2,-8,RR1,5.5,5,0.75,0.25,1.0,4.0,0.0,1.0,95.0479,0.589112,8.0,8.0,95.5521,95.5589,4.653
6,0.3,0.7,0,-4,27,5,MD11,5,5.3,0,1,1.0,5.0,0.0,1.0,113.928,0.587988,6.0,6.0,114.442,114.449,1.2377
7,0.8,0.2,0,0,16,13,SD9,13,12.8,0,1,1.0,6.0,1.0,2.0,131.488,0.299939,8.0,8.0,132.005,132.012,1.4961
8,0.1,0.9,0,0,-32,-3,SD1,-3,-3.2,0,1,1.0,7.0,1.0,2.0,147.672,0.485804,7.0,7.0,148.176,148.183,2.2012
9,0.8,0.2,0,0,4,3,SD7,3,3.2,0,1,1.0,8.0,0.0,2.0,163.224,0.622865,6.0,6.0,163.738,163.744,1.3679
10,0.8,0.2,40,33,18,-25,RR12,20.5,21,0.7,0.3,1.0,9.0,1.0,1.0,179.808,0.408807,8.0,8.0,180.317,180.325,1.8631
11,0.4,0.6,17,12,5,-5,RR2,8.2,9.2,0.6,0.4,1.0,10.0,1.0,1.0,198.616,0.635851,8.0,8.0,199.131,199.14,5.4629
12,0.6,0.3,0,-22,4,-6,MD1,-6,-4.2,0,1,1.0,11.0,0.0,2.0,218.32,0.375366,7.0,7.0,218.833,218.841,2.274
13,0.8,0.2,35,40,24,-20,RR7,29.5,27.2,0.9,0.1,1.0,12.0,1.0,1.0,234.4,0.25724,6.0,6.0,234.91,234.918,1.048
14,0.5,0.5,50,30,14,-15,RR8,24,22,0.6,0.4,1.0,13.0,1.0,2.0,250.944,0.319699,7.0,7.0,251.459,251.468,1.7267
15,0.1,0.9,0,-1,42,2,MD10,2,3.3,0,1,1.0,14.0,0.0,1.0,269.64,0.484856,8.0,8.0,270.145,270.151,5.4629
16,0.2,0.8,0,-7,24,-2,MD6,-2,-0.8,0,1,1.0,15.0,0.0,1.0,290.536,0.999528,7.0,7.0,291.051,291.059,1.3248
17,0.7,0.3,30,38,22,-10,RR11,26,26.8,0.9,0.1,1.0,16.0,1.0,1.0,308.888,0.253638,6.0,6.0,309.396,309.404,1.233
18,0.5,0.5,35,30,10,-10,RR5,21.5,20,0.7,0.3,1.0,17.0,1.0,1.0,325.312,0.246397,7.0,7.0,325.816,325.824,1.5966
