TrialNumber,P1_1,P1_2,O2_2,O2_1,O1_1,O1_2,ProbType,EV2,EV1,P2_2,P2_1,ran,order,leftRight,displayOnset,resp,resp_onset,rt,duration,ITI,ITI_onset
1,0.8,0.2,0,0,16,13,SD9,13,12.8,0,1,1.0,0.0,0.0,0.02973,1.0,9.6473,0.526248,10.1553,2.5049,10.168
2,0.8,0.2,18,10,2,-4,RR9,4.8,3.6,0.4,0.6,1.0,1.0,1.0,13.6809,2.0,23.5193,0.749872,24.0289,1.1342,24.043
3,0.4,0.6,0,-20,15,-4,MD4,-4,-6,0,1,1.0,2.0,1.0,25.9476,2.0,35.9752,0.940409,36.4844,3.4263,36.4981
4,0.8,0.2,40,33,18,-25,RR12,20.5,21,0.7,0.3,1.0,3.0,0.0,40.5105,1.0,50.1993,0.599623,50.7013,3.1912,50.7186
5,0.6,0.3,0,-22,4,-6,MD1,-6,-4.2,0,1,1.0,4.0,1.0,54.8304,2.0,64.8232,0.908529,65.3264,1.1057,65.3409
6,0.4,0.6,17,12,5,-5,RR2,8.2,9.2,0.6,0.4,1.0,5.0,0.0,67.0614,1.0,77.3513,1.22115,77.8577,1.2245,77.8718
7,0.9,0.1,0,-30,2,-1,MD2,-1,-1.2,0,1,1.0,6.0,0.0,79.39,2.0,88.9991,0.520641,89.5143,3.6229,89.5275
8,0.75,0.25,30,10,2,-5,RR3,3.75,4,0.25,0.75,1.0,7.0,0.0,94.1378,2.0,103.839,0.629284,104.342,1.2493,104.356
9,0.8,0.2,35,40,24,-20,RR7,29.5,27.2,0.9,0.1,1.0,8.0,1.0,106.492,1.0,115.895,0.319787,116.405,1.1188,116.422
10,0.6,0.4,50,25,12,-15,RR6,17.5,17.2,0.5,0.5,1.0,9.0,0.0,118.746,1.0,128.671,0.830538,129.186,1.7448,129.202
11,0.25,0.75,10,6,2,-8,RR1,5.5,5,0.75,0.25,1.0,10.0,0.0,131.623,1.0,141.823,1.10061,142.316,1.1584,142.329
12,0.2,0.8,0,0,29,6,SD12,6,5.8,0,1,1.0,11.0,1.0,143.917,1.0,153.311,0.323578,153.827,1.1231,153.839
13,0.9,0.1,0,-8,6,4,MD7,4,4.6,0,1,1.0,12.0,0.0,156.141,2.0,166.215,0.978886,166.718,1.1622,166.73
14,0.9,0.1,25,15,5,-3,RR10,5.4,6,0.3,0.7,1.0,13.0,1.0,168.433,2.0,178.263,0.761611,178.764,1.3975,178.779
15,0.6,0.3,0,0,12,7,SD8,7,7.2,0,1,1.0,14.0,1.0,180.927,1.0,191.207,1.19034,191.717,3.9403,191.73
16,0.4,0.6,0,0,22,8,SD11,8,8.8,0,1,1.0,15.0,1.0,195.987,NA,0.0,-205.065,207.065,4.7413,207.077
17,0.1,0.9,0,0,-32,-3,SD1,-3,-3.2,0,1,1.0,16.0,1.0,211.836,2,221.455,0.525184,221.967,1.1239,221.979
18,0.1,0.9,0,0,32,3,SD10,3,3.2,0,1,1.0,17.0,1.0,224.085,1,234.559,1.38083,235.061,2.3911,235.074
