TrialNumber,P1_1,P1_2,O2_2,O2_1,O1_1,O1_2,ProbType,EV2,EV1,P2_2,P2_1,ran,order,leftRight,displayOnset,resp,resp_onset,rt,duration,ITI,ITI_onset
1,0.1,0.9,0,-5,25,-4,MD5,-4,-2,0,1,1.0,0.0,0.0,0.0540326,1.0,10.12,0.989786,10.6338,1.2245,10.6459
2,0.7,0.3,0,0,-10,-8,SD5,-8,-7,0,1,1.0,1.0,1.0,12.3966,2.0,22.0799,0.584314,22.5865,1.1604,22.5994
3,0.8,0.2,0,0,-4,-3,SD4,-3,-3.2,0,1,1.0,2.0,1.0,24.6843,2.0,34.168,0.407193,34.6803,1.1412,34.6919
4,0.8,0.2,0,0,4,3,SD7,3,3.2,0,1,1.0,3.0,0.0,36.9313,1.0,46.5199,0.493929,47.0228,4.3408,47.0348
5,0.6,0.4,0,-12,30,12,MD12,12,13.2,0,1,1.0,4.0,1.0,52.4007,1.0,62.5919,1.10114,63.1014,1.5139,63.1147
6,0.2,0.8,0,0,-34,-7,SD3,-7,-6.8,0,1,1.0,5.0,0.0,65.0339,2.0,74.5119,0.389133,75.0233,2.5659,75.0362
7,0.7,0.3,30,38,22,-10,RR11,26,26.8,0.9,0.1,1.0,6.0,0.0,78.7186,1.0,88.7118,0.907351,89.2263,1.5147,89.2422
8,0.2,0.8,0,-7,24,-2,MD6,-2,-0.8,0,1,1.0,7.0,0.0,91.3471,1.0,100.968,0.531483,101.464,2.2412,101.476
9,0.9,0.1,0,-37,10,-5,MD3,-5,5.3,0,1,1.0,8.0,1.0,104.713,1.0,114.16,0.358476,114.665,1.6301,114.679
10,0.5,0.5,35,30,10,-10,RR5,21.5,20,0.7,0.3,1.0,9.0,0.0,117.466,1.0,127.064,0.514259,127.57,1.8199,127.588
11,0.3,0.7,30,15,5,-8,RR4,11,12,0.5,0.5,1.0,10.0,0.0,130.411,2.0,140.136,0.637371,140.648,1.61,140.662
12,0.8,0.2,0,0,14,12,SD6,12,11.2,0,1,1.0,11.0,1.0,143.14,1.0,152.72,0.489446,153.226,1.2203,153.238
13,0.8,0.2,0,-9,8,5,MD9,5,4.6,0,1,1.0,12.0,0.0,155.489,2.0,165.648,1.06896,166.148,1.0075,166.161
14,0.4,0.6,0,0,-4,-2,SD2,-2,-1.6,0,1,1.0,13.0,1.0,167.618,2.0,178.312,1.60113,178.82,1.4355,178.831
15,0.9,0.1,0,-10,5,3,MD8,3,3.5,0,1,1.0,14.0,1.0,180.187,2.0,190.536,1.25969,191.038,3.1124,191.052
16,0.3,0.7,0,-4,27,5,MD11,5,5.3,0,1,1.0,15.0,1.0,194.424,1.0,204.656,1.14806,205.164,2.1542,205.176
17,0.5,0.5,50,30,14,-15,RR8,24,22,0.6,0.4,1.0,16.0,1.0,207.703,1.0,218.016,1.22623,218.524,1.0825,218.538
18,0.1,0.9,0,-1,42,2,MD10,2,3.3,0,1,1.0,17.0,1.0,219.898,1.0,229.352,0.363709,229.867,1.783,229.879
