TrialNumber,P1_1,P1_2,O2_2,O2_1,O1_1,O1_2,ProbType,EV2,EV1,P2_2,P2_1,ran,order,leftRight,resp,resp_onset,rt,maxL_ITR,maxR_ITR,duration,ITI_onset,ITI
1,0.7,0.3,0,0,-10,-8,SD5,-8,-7,0,1,1.0,0.0,0.0,2.0,17.6001,0.468367,8.0,8.0,18.1022,18.1081,1.0098
2,0.8,0.2,18,10,2,-4,RR9,4.8,3.6,0.4,0.6,1.0,1.0,0.0,2.0,35.672,1.27596,6.0,6.0,36.1797,36.1864,1.0887
3,0.75,0.25,30,10,2,-5,RR3,3.75,4,0.25,0.75,1.0,2.0,0.0,2.0,54.824,0.563,8.0,8.0,55.3356,55.3439,1.3267
4,0.6,0.3,0,-22,4,-6,MD1,-6,-4.2,0,1,1.0,3.0,1.0,2.0,72.304,0.311801,7.0,7.0,72.8201,72.8276,1.0113
5,0.7,0.3,30,38,22,-10,RR11,26,26.8,0.9,0.1,1.0,4.0,0.0,2.0,89.36,0.28637,7.0,7.0,89.8675,89.8756,1.1749
6,0.1,0.9,0,-1,42,2,MD10,2,3.3,0,1,1.0,5.0,0.0,2.0,105.104,0.715662,6.0,6.0,105.618,105.624,1.2853
7,0.2,0.8,0,0,-34,-7,SD3,-7,-6.8,0,1,1.0,6.0,1.0,1.0,123.656,0.403092,6.0,6.0,124.164,124.172,1.3975
8,0.8,0.2,0,0,16,13,SD9,13,12.8,0,1,1.0,7.0,0.0,1.0,141.056,0.355135,6.0,6.0,141.57,141.578,1.5734
9,0.3,0.7,30,15,5,-8,RR4,11,12,0.5,0.5,1.0,8.0,0.0,2.0,165.408,0.693183,8.0,8.0,165.914,165.922,1.4411
10,0.9,0.1,25,15,5,-3,RR10,5.4,6,0.3,0.7,1.0,9.0,0.0,2.0,183.832,0.919414,8.0,8.0,184.336,184.343,1.2297
11,0.2,0.8,0,-7,24,-2,MD6,-2,-0.8,0,1,1.0,10.0,1.0,NA,200.377,0.0,7.0,7.0,202.377,202.384,1.1477
12,0.5,0.5,50,30,14,-15,RR8,24,22,0.6,0.4,1.0,11.0,0.0,2,221.384,0.542349,8.0,8.0,221.898,221.907,3.6695
13,0.9,0.1,0,-8,6,4,MD7,4,4.6,0,1,1.0,12.0,1.0,2,241.312,0.055959,7.0,7.0,241.82,241.827,1.8808
14,0.25,0.75,10,6,2,-8,RR1,5.5,5,0.75,0.25,1.0,13.0,0.0,2,259.808,0.437466,7.0,7.0,260.321,260.329,2.5575
15,0.6,0.3,0,0,12,7,SD8,7,7.2,0,1,1.0,14.0,1.0,NA,291.5,0.0,6.0,6.0,293.5,293.506,4.6191
16,0.8,0.2,0,-9,8,5,MD9,5,4.6,0,1,1.0,15.0,0.0,2,317.384,1.02009,7.0,7.0,317.899,317.906,2.3911
17,0.6,0.4,50,25,12,-15,RR6,17.5,17.2,0.5,0.5,1.0,16.0,1.0,1,337.416,0.804626,8.0,8.0,337.93,337.937,5.0846
18,0.8,0.2,0,0,-4,-3,SD4,-3,-3.2,0,1,1.0,17.0,1.0,1,367.512,1.1705,6.0,6.0,368.024,368.031,1.2245
