TrialNumber,P1_1,P1_2,O2_2,O2_1,O1_1,O1_2,ProbType,EV2,EV1,P2_2,P2_1,ran,order,leftRight,resp,resp_onset,rt,maxL_ITR,maxR_ITR,duration,ITI_onset,ITI
1,0.4,0.6,17,12,5,-5,RR2,8.2,9.2,0.6,0.4,1.0,0.0,0.0,2.0,21.9041,0.914338,8.0,8.0,22.4107,22.4174,1.0098
2,0.8,0.2,0,0,14,12,SD6,12,11.2,0,1,1.0,1.0,0.0,1.0,38.3041,0.549614,6.0,6.0,38.8173,38.8237,1.048
3,0.4,0.6,0,0,22,8,SD11,8,8.8,0,1,1.0,2.0,0.0,1.0,58.376,0.457291,8.0,8.0,58.8794,58.8848,5.4629
4,0.1,0.9,0,0,32,3,SD10,3,3.2,0,1,1.0,3.0,1.0,NA,79.7496,0.0,7.0,7.0,81.7496,81.7582,2.2012
5,0.5,0.5,35,30,10,-10,RR5,21.5,20,0.7,0.3,1.0,4.0,0.0,1,98.9199,0.389149,7.0,7.0,99.4265,99.435,2.274
6,0.3,0.7,0,-4,27,5,MD11,5,5.3,0,1,1.0,5.0,0.0,2,116.088,0.442891,6.0,6.0,116.598,116.605,1.2377
7,0.9,0.1,0,-37,10,-5,MD3,-5,5.3,0,1,1.0,6.0,1.0,2,133.832,0.588454,6.0,6.0,134.348,134.355,1.3679
8,0.4,0.6,0,-20,15,-4,MD4,-4,-6,0,1,1.0,7.0,0.0,2,151.936,0.911231,6.0,6.0,152.442,152.449,1.0587
9,0.6,0.4,0,-12,30,12,MD12,12,13.2,0,1,1.0,8.0,0.0,1,170.984,1.17808,8.0,8.0,171.489,171.496,4.653
10,0.1,0.9,0,0,-32,-3,SD1,-3,-3.2,0,1,1.0,9.0,0.0,2,192.768,0.664602,8.0,8.0,193.27,193.279,1.4961
11,0.9,0.1,0,-30,2,-1,MD2,-1,-1.2,0,1,1.0,10.0,1.0,1,211.704,0.769544,7.0,7.0,212.208,212.215,1.7267
12,0.1,0.9,0,-5,25,-4,MD5,-4,-2,0,1,1.0,11.0,0.0,1,231.088,0.389126,8.0,8.0,231.596,231.603,1.8631
13,0.9,0.1,0,-10,5,3,MD8,3,3.5,0,1,1.0,12.0,1.0,1,249.984,1.07071,7.0,7.0,250.489,250.496,1.5966
14,0.4,0.6,0,0,-4,-2,SD2,-2,-1.6,0,1,1.0,13.0,0.0,2,266.584,0.489321,7.0,7.0,267.098,267.103,1.2135
15,0.8,0.2,35,40,24,-20,RR7,29.5,27.2,0.9,0.1,1.0,14.0,1.0,1,284.104,0.627838,6.0,6.0,284.614,284.621,2.4102
16,0.2,0.8,0,0,29,6,SD12,6,5.8,0,1,1.0,15.0,0.0,NA,302.274,0.0,7.0,7.0,304.274,304.28,1.3248
17,0.8,0.2,40,33,18,-25,RR12,20.5,21,0.7,0.3,1.0,16.0,1.0,1,322.664,0.909126,8.0,8.0,323.177,323.185,5.4629
18,0.8,0.2,0,0,4,3,SD7,3,3.2,0,1,1.0,17.0,1.0,NA,343.519,0.0,6.0,6.0,345.519,345.524,1.233
