Trial,Resp,LR,Outcome,RT,respOnset
1,1,0,-8,3.411013430915773,194.90270344144665
1,2,0,+10,2.0497391105163842,196.95244255196303
1,1,0,+17,7.032618459430523,203.98506101139355
2,1,0,0,1.0992562032770365,213.88403433107305
2,1,0,0,1.5996989170089364,215.483733248082
2,2,0,-2,0.6164823883445933,216.10021563642658
2,1,0,0,1.6833074124297127,217.7835230488563
2,2,0,-2,0.7997684673173353,218.58329151617363
2,1,0,0,3.649618133553304,222.23290964972693
2,2,0,-2,1.850573111209087,224.08348276093602
2,2,0,-2,3.61549501423724,227.69897777517326
2,1,0,0,1.499788743443787,229.19876651861705
3,1,0,+8,1.2159566446207464,243.7969486931106
3,2,0,+5,1.2664180673891678,245.06336676049978
3,2,0,+5,1.1001257721800357,246.1634925326798
3,1,0,+2,0.5665722336852923,246.7300647663651
3,1,0,+2,2.2665709876455367,248.99663575401064
3,2,0,+5,1.7996548155788332,250.79629056958947
3,1,0,+8,3.6162124179536477,254.41250298754312
3,2,0,+5,3.232975726481527,257.64547871402465
4,1,1,+20,1.2161065442487597,268.9943124987185
4,2,1,+15,2.133019110537134,271.12733160925563
4,2,1,+15,2.5496475470717996,273.67697915632743
4,1,1,-5,1.8997118680272251,275.57669102435466
4,2,1,+15,3.149526947760023,278.7262179721147
4,1,1,-5,2.8831742018228397,281.6093921739375
5,1,0,-5,1.8493191649904475,292.87480021244846
5,2,0,-3,2.0333166065393016,294.90811681898776
5,1,0,+25,2.732864906429313,297.6409817254171
5,2,0,-3,2.7826784003991634,300.42366012581624
5,2,0,-3,2.4333152471808717,302.8569753729971
5,1,0,-5,1.7831235682824627,304.6400989412796
6,2,0,+2,1.332755256909877,314.13904718961567
6,1,0,-2,2.516293560154736,316.6553407497704
6,2,0,+2,2.50001982296817,319.1553605727386
6,1,0,-2,2.3994537914404646,321.55481436417904
6,2,0,+2,2.9829586409032345,324.5377730050823
6,1,0,-2,2.7996676532784477,327.3374406583607
