TrialNumber,P1_1,P1_2,O2_2,O2_1,O1_1,O1_2,ProbType,EV2,EV1,P2_2,P2_1,ran,order,leftRight,resp,resp_onset,rt,maxL_ITR,maxR_ITR,duration,ITI_onset,ITI
1,0.5,0.5,35,30,10,-10,RR5,21.5,20,0.7,0.3,1.0,0.0,0.0,1.0,46.1121,1.21458,8.0,8.0,46.6128,46.6199,5.4629
2,0.6,0.3,0,0,12,7,SD8,7,7.2,0,1,1.0,1.0,0.0,1.0,74.448,1.12065,8.0,8.0,74.9615,74.9673,1.4961
3,0.3,0.7,0,-4,27,5,MD11,5,5.3,0,1,1.0,2.0,0.0,1.0,111.368,1.59468,7.0,7.0,111.857,111.864,1.2135
4,0.6,0.4,50,25,12,-15,RR6,17.5,17.2,0.5,0.5,1.0,3.0,1.0,2.0,158.44,0.639182,6.0,6.0,158.944,158.951,1.3679
5,0.8,0.2,18,10,2,-4,RR9,4.8,3.6,0.4,0.6,1.0,4.0,1.0,2.0,200.288,1.15825,8.0,8.0,200.779,200.787,1.0098
6,0.1,0.9,0,-5,25,-4,MD5,-4,-2,0,1,1.0,5.0,1.0,1.0,228.024,0.61457,7.0,7.0,228.53,228.537,1.5966
7,0.2,0.8,0,0,29,6,SD12,6,5.8,0,1,1.0,6.0,0.0,1.0,248.72,0.329522,6.0,6.0,249.227,249.233,1.233
8,0.9,0.1,0,-30,2,-1,MD2,-1,-1.2,0,1,1.0,7.0,0.0,2.0,285.408,0.787909,7.0,7.0,285.917,285.924,1.3248
9,0.2,0.8,0,-7,24,-2,MD6,-2,-0.8,0,1,1.0,8.0,1.0,1.0,311.088,0.337934,8.0,8.0,311.604,311.611,1.8631
10,0.1,0.9,0,0,-32,-3,SD1,-3,-3.2,0,1,1.0,9.0,0.0,1.0,340.472,0.825583,7.0,7.0,340.986,340.993,2.2012
11,0.9,0.1,25,15,5,-3,RR10,5.4,6,0.3,0.7,1.0,10.0,1.0,2.0,368.368,0.924433,6.0,6.0,368.866,368.873,1.0587
12,0.8,0.2,0,0,-4,-3,SD4,-3,-3.2,0,1,1.0,11.0,1.0,1.0,387.592,0.46733,7.0,7.0,388.102,388.109,2.274
13,0.2,0.8,0,0,-34,-7,SD3,-7,-6.8,0,1,1.0,12.0,1.0,2.0,410.184,0.561855,7.0,7.0,410.684,410.69,1.7267
14,0.9,0.1,0,-10,5,3,MD8,3,3.5,0,1,1.0,13.0,0.0,2.0,431.248,0.478206,6.0,6.0,431.743,431.749,1.2377
15,0.8,0.2,0,-9,8,5,MD9,5,4.6,0,1,1.0,14.0,0.0,2.0,456.8,0.533213,6.0,6.0,457.316,457.323,1.048
16,0.5,0.5,50,30,14,-15,RR8,24,22,0.6,0.4,1.0,15.0,0.0,2.0,502.664,0.36938,8.0,8.0,503.164,503.171,5.4629
17,0.4,0.6,0,0,-4,-2,SD2,-2,-1.6,0,1,1.0,16.0,1.0,1.0,525.976,1.38386,6.0,6.0,526.481,526.488,2.4102
18,0.9,0.1,0,-8,6,4,MD7,4,4.6,0,1,1.0,17.0,1.0,2.0,560.007,0.353089,8.0,8.0,560.521,560.529,4.653
