TrialNumber,P1_1,P1_2,O2_2,O2_1,O1_1,O1_2,ProbType,EV2,EV1,P2_2,P2_1,ran,order,leftRight,displayOnset,resp,resp_onset,rt,duration,ITI,ITI_onset
1,0.6,0.3,0,-22,4,-6,MD1,-6,-4.2,0,1,1.0,0.0,0.0,0.0561557,1.0,10.4561,1.30775,10.9639,1.0825,10.976
2,0.6,0.3,0,0,12,7,SD8,7,7.2,0,1,1.0,1.0,1.0,12.257,1.0,21.68,0.349708,22.1909,1.8199,22.2031
3,0.1,0.9,0,-1,42,2,MD10,2,3.3,0,1,1.0,2.0,0.0,25.1934,1.0,34.672,0.3932,35.1745,1.4355,35.1862
4,0.8,0.2,40,33,18,-25,RR12,20.5,21,0.7,0.3,1.0,3.0,0.0,37.7629,1.0,47.128,0.267255,47.6427,1.5147,47.6624
5,0.6,0.4,0,-12,30,12,MD12,12,13.2,0,1,1.0,4.0,1.0,50.417,1.0,59.8479,0.338514,60.3549,1.2245,60.3683
6,0.1,0.9,0,0,-32,-3,SD1,-3,-3.2,0,1,1.0,5.0,0.0,62.7663,2.0,72.2,0.342331,72.7125,1.0075,72.7256
7,0.25,0.75,10,6,2,-8,RR1,5.5,5,0.75,0.25,1.0,6.0,0.0,74.9034,1.0,84.3759,0.386286,84.8657,1.783,84.8797
8,0.3,0.7,30,15,5,-8,RR4,11,12,0.5,0.5,1.0,7.0,0.0,87.8151,1.0,97.384,0.495865,97.8961,2.1542,97.9118
9,0.9,0.1,0,-37,10,-5,MD3,-5,5.3,0,1,1.0,8.0,0.0,101.084,2.0,110.48,0.309943,110.987,1.2203,111.002
10,0.8,0.2,0,0,-4,-3,SD4,-3,-3.2,0,1,1.0,9.0,0.0,113.426,2.0,123.144,0.642108,123.657,4.3408,123.669
11,0.8,0.2,0,0,16,13,SD9,13,12.8,0,1,1.0,10.0,1.0,128.873,1.0,138.32,0.353346,138.83,2.2412,138.842
12,0.75,0.25,30,10,2,-5,RR3,3.75,4,0.25,0.75,1.0,11.0,0.0,142.245,2.0,151.968,0.652785,152.471,1.5139,152.486
13,0.8,0.2,35,40,24,-20,RR7,29.5,27.2,0.9,0.1,1.0,12.0,0.0,154.863,1.0,164.224,0.276946,164.737,1.61,164.753
14,0.4,0.6,0,-20,15,-4,MD4,-4,-6,0,1,1.0,13.0,0.0,167.593,2.0,176.904,0.241739,177.406,2.5659,177.42
15,0.8,0.2,18,10,2,-4,RR9,4.8,3.6,0.4,0.6,1.0,14.0,0.0,181.254,2.0,191.216,0.905172,191.721,1.1604,191.737
16,0.1,0.9,0,0,32,3,SD10,3,3.2,0,1,1.0,15.0,0.0,193.504,1.0,203.096,0.51981,203.609,1.1412,203.622
17,0.2,0.8,0,0,-34,-7,SD3,-7,-6.8,0,1,1.0,16.0,0.0,205.749,2.0,215.24,0.432049,215.745,3.1124,215.759
18,0.4,0.6,17,12,5,-5,RR2,8.2,9.2,0.6,0.4,1.0,17.0,0.0,219.953,1.0,230.048,1.00839,230.549,1.6301,230.564
